[07/17 17:34:57] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:56:41] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:58:02] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 17:59:23] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:00:45] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:02:06] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:03:27] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:04:48] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:06:10] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:07:31] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:08:52] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:10:13] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:11:34] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:12:55] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:14:17] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:15:38] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:16:59] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:18:20] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:19:42] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:21:03] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:22:24] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:23:45] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:25:06] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:26:28] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:27:49] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:29:10] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:30:31] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:31:53] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:33:14] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:34:35] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:35:56] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:37:17] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:38:39] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:40:00] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:41:21] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:42:42] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:44:04] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:45:25] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:46:46] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:48:07] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:49:28] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:50:50] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:52:11] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:53:32] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:54:53] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:56:14] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:57:36] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 18:58:57] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:00:18] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:01:39] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:03:00] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:04:22] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:05:43] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:07:04] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:08:25] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:09:46] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:11:08] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:12:29] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/17 19:13:39] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/19 14:39:47] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
[07/19 14:41:24] oneformer.data.dataset_mappers.dataset_mapper INFO: [DatasetMapper] Augmentations used in inference: [ResizeShortestEdge(short_edge_length=(128, 128), max_size=128, sample_style='choice')]
